director_name,genres,movie_title,actor_1_name,actor_2_name,actor_3_name
James Cameron,Action Adventure Fantasy Sci-Fi,avatar,CCH Pounder,Joel David Moore,Wes Studi
Gore Verbinski,Action Adventure Fantasy,pirates of the caribbean: at world's end,Johnny Depp,Orlando Bloom,Jack Davenport
Sam Mendes,Action Adventure Thriller,spectre,Christoph Waltz,Rory Kinnear,Stephanie Sigman
Christopher Nolan,Action Thriller,the dark knight rises,Tom Hardy,Christian Bale,Joseph Gordon-Levitt
Doug Walker,Documentary,star wars: episode vii - the force awakens            ,Doug Walker,Rob Walker,unknown
Andrew Stanton,Action Adventure Sci-Fi,john carter,Daryl Sabara,Samantha Morton,Polly Walker
Sam Raimi,Action Adventure Romance,spider-man 3,J.K. Simmons,James Franco,Kirsten Dunst
Nathan Greno,Adventure Animation Comedy Family Fantasy Musical Romance,tangled,Brad Garrett,Donna Murphy,M.C. Gainey
Joss Whedon,Action Adventure Sci-Fi,avengers: age of ultron,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson
David Yates,Adventure Family Fantasy Mystery,harry potter and the half-blood prince,Alan Rickman,Daniel Radcliffe,Rupert Grint
Zack Snyder,Action Adventure Sci-Fi,batman v superman: dawn of justice,Henry Cavill,Lauren Cohan,Alan D. Purwin
Bryan Singer,Action Adventure Sci-Fi,superman returns,Kevin Spacey,Marlon Brando,Frank Langella
Marc Forster,Action Adventure,quantum of solace,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear
Gore Verbinski,Action Adventure Fantasy,pirates of the caribbean: dead man's chest,Johnny Depp,Orlando Bloom,Jack Davenport
Gore Verbinski,Action Adventure Western,the lone ranger,Johnny Depp,Ruth Wilson,Tom Wilkinson
Zack Snyder,Action Adventure Fantasy Sci-Fi,man of steel,Henry Cavill,Christopher Meloni,Harry Lennix
Andrew Adamson,Action Adventure Family Fantasy,the chronicles of narnia: prince caspian,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar
Joss Whedon,Action Adventure Sci-Fi,the avengers,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson
Rob Marshall,Action Adventure Fantasy,pirates of the caribbean: on stranger tides,Johnny Depp,Sam Claflin,Stephen Graham
Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Sci-Fi,men in black 3,Will Smith,Michael Stuhlbarg,Nicole Scherzinger
Peter Jackson,Adventure Fantasy,the hobbit: the battle of the five armies,Aidan Turner,Adam Brown,James Nesbitt
Marc Webb,Action Adventure Fantasy,the amazing spider-man,Emma Stone,Andrew Garfield,Chris Zylka
Ridley Scott,Action Adventure Drama History,robin hood,Mark Addy,William Hurt,Scott Grimes
Peter Jackson,Adventure Fantasy,the hobbit: the desolation of smaug,Aidan Turner,Adam Brown,James Nesbitt
Chris Weitz,Adventure Family Fantasy,the golden compass,Christopher Lee,Eva Green,Kristin Scott Thomas
Peter Jackson,Action Adventure Drama Romance,king kong,Naomi Watts,Thomas Kretschmann,Evan Parke
James Cameron,Drama Romance,titanic,Leonardo DiCaprio,Kate Winslet,Gloria Stuart
Anthony Russo,Action Adventure Sci-Fi,captain america: civil war,Robert Downey Jr.,Scarlett Johansson,Chris Evans
Peter Berg,Action Adventure Sci-Fi Thriller,battleship,Liam Neeson,Alexander Skarsgård,Tadanobu Asano
Colin Trevorrow,Action Adventure Sci-Fi Thriller,jurassic world,Bryce Dallas Howard,Judy Greer,Omar Sy
Sam Mendes,Action Adventure Thriller,skyfall,Albert Finney,Helen McCrory,Rory Kinnear
Sam Raimi,Action Adventure Fantasy Romance,spider-man 2,J.K. Simmons,James Franco,Kirsten Dunst
Shane Black,Action Adventure Sci-Fi,iron man 3,Robert Downey Jr.,Jon Favreau,Don Cheadle
Tim Burton,Adventure Family Fantasy,alice in wonderland,Johnny Depp,Alan Rickman,Anne Hathaway
Brett Ratner,Action Adventure Fantasy Sci-Fi Thriller,x-men: the last stand,Hugh Jackman,Kelsey Grammer,Daniel Cudmore
Dan Scanlon,Adventure Animation Comedy Family Fantasy,monsters university,Steve Buscemi,Tyler Labine,Sean Hayes
Michael Bay,Action Adventure Sci-Fi,transformers: revenge of the fallen,Glenn Morshower,Kevin Dunn,Ramon Rodriguez
Michael Bay,Action Adventure Sci-Fi,transformers: age of extinction,Bingbing Li,Sophia Myles,Kelsey Grammer
Sam Raimi,Adventure Family Fantasy,oz the great and powerful,Tim Holmes,Mila Kunis,James Franco
Marc Webb,Action Adventure Fantasy Sci-Fi,the amazing spider-man 2,Emma Stone,Andrew Garfield,B.J. Novak
Joseph Kosinski,Action Adventure Sci-Fi,tron: legacy,Jeff Bridges,Olivia Wilde,James Frain
John Lasseter,Adventure Animation Comedy Family Sport,cars 2,Joe Mantegna,Thomas Kretschmann,Eddie Izzard
Martin Campbell,Action Adventure Sci-Fi,green lantern,Ryan Reynolds,Temuera Morrison,Taika Waititi
Lee Unkrich,Adventure Animation Comedy Family Fantasy,toy story 3,Tom Hanks,John Ratzenberger,Don Rickles
McG,Action Adventure Sci-Fi,terminator salvation,Christian Bale,Bryce Dallas Howard,Common
James Wan,Action Crime Thriller,furious 7,Jason Statham,Paul Walker,Vin Diesel
Marc Forster,Action Adventure Horror Sci-Fi Thriller,world war z,Peter Capaldi,Brad Pitt,Mireille Enos
Bryan Singer,Action Adventure Fantasy Sci-Fi Thriller,x-men: days of future past,Jennifer Lawrence,Peter Dinklage,Hugh Jackman
J.J. Abrams,Action Adventure Sci-Fi,star trek into darkness,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke
Bryan Singer,Adventure Fantasy,jack the giant slayer,Eddie Marsan,Ewen Bremner,Ralph Brown
Baz Luhrmann,Drama Romance,the great gatsby,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley
Mike Newell,Action Adventure Fantasy Romance,prince of persia: the sands of time,Jake Gyllenhaal,Richard Coyle,Reece Ritchie
Guillermo del Toro,Action Adventure Sci-Fi,pacific rim,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell
